contact_id,contact_date,contact_ts,search_id,user_id,listing_id,seller_type,dealer_id,dealer_tier,listed_price_eur,is_featured,photo_count,price_position_vs_market,dealer_response_time_hours,lead_channel
cnt_000000000017,2023-08-14,2023-08-14T15:52:25,srch_000000006488,usr_000012086,lst_000021935,dealer,dlr_000144,enterprise,7766.04,1,17,0.0241,2.5,message
cnt_000000000018,2023-08-15,2023-08-15T21:44:53,srch_000000006966,usr_000012448,lst_000026802,dealer,dlr_000191,enterprise,8454.75,0,17,0.0834,8.24,message
cnt_000000000019,2023-08-15,2023-08-15T22:59:37,srch_000000007051,usr_000008676,lst_000020959,dealer,dlr_000044,small,8173.0,1,19,-0.0073,8.07,call
cnt_000000000020,2023-08-15,2023-08-15T19:26:53,srch_000000007377,usr_000019689,lst_000028667,dealer,dlr_000186,small,19241.76,0,13,-0.0183,4.49,call
cnt_000000000021,2023-08-15,2023-08-15T13:52:26,srch_000000007382,usr_000013386,lst_000030961,private,,private,24534.51,0,12,-0.0897,18.19,chat
cnt_000000000022,2023-08-16,2023-08-16T21:42:38,srch_000000007500,usr_000013073,lst_000004317,dealer,dlr_000109,small,17639.1,0,12,0.0312,2.39,call
cnt_000000000023,2023-08-16,2023-08-16T16:01:56,srch_000000007780,usr_000006163,lst_000027762,dealer,dlr_000257,small,15242.43,0,17,0.1008,9.92,message
cnt_000000000024,2023-08-17,2023-08-17T10:33:31,srch_000000007992,usr_000002052,lst_000016524,dealer,dlr_000254,small,1499.25,1,14,0.063,7.31,chat
cnt_000000000025,2023-08-17,2023-08-17T14:08:54,srch_000000008339,usr_000002160,lst_000007300,private,,private,17547.69,0,12,0.0093,22.66,call
cnt_000000000026,2023-08-18,2023-08-18T18:18:47,srch_000000008506,usr_000020675,lst_000029717,dealer,dlr_000017,mid,28423.16,0,13,-0.0013,7.95,message
cnt_000000000027,2023-08-19,2023-08-19T18:33:24,srch_000000008944,usr_000021366,lst_000014514,dealer,dlr_000144,enterprise,16339.74,0,17,-0.0065,2.5,message
cnt_000000000028,2023-08-19,2023-08-19T22:33:25,srch_000000009042,usr_000016575,lst_000017008,dealer,dlr_000076,enterprise,6019.2,1,9,0.0579,2.75,call
cnt_000000000029,2023-08-20,2023-08-20T11:04:02,srch_000000009480,usr_000006152,lst_000025601,dealer,dlr_000182,small,6264.3,1,16,0.0555,8.78,message
cnt_000000000030,2023-08-20,2023-08-20T14:03:08,srch_000000009622,usr_000007084,lst_000002376,dealer,dlr_000169,small,3537.81,1,14,0.0349,14.48,message
cnt_000000000031,2023-08-20,2023-08-20T09:03:19,srch_000000009773,usr_000012543,lst_000027882,private,,private,6186.4,0,18,-0.0778,27.46,call
cnt_000000000032,2023-08-22,2023-08-22T18:05:30,srch_000000010797,usr_000004057,lst_000022859,dealer,dlr_000072,small,22331.33,0,14,0.0403,4.69,message
cnt_000000000033,2023-08-22,2023-08-22T18:16:16,srch_000000010841,usr_000017374,lst_000031746,dealer,dlr_000079,mid,3900.65,0,16,0.0772,9.83,call
cnt_000000000034,2023-08-23,2023-08-23T11:15:30,srch_000000011128,usr_000011399,lst_000027033,dealer,dlr_000207,small,1957.02,0,14,0.0061,6.58,chat
cnt_000000000035,2023-08-24,2023-08-24T16:43:58,srch_000000011574,usr_000011524,lst_000009526,dealer,dlr_000048,mid,9871.85,0,16,0.0244,16.61,message
cnt_000000000036,2023-08-24,2023-08-24T08:05:23,srch_000000011630,usr_000005366,lst_000010269,dealer,dlr_000117,small,17338.94,1,22,0.0643,3.95,call
cnt_000000000037,2023-08-26,2023-08-26T22:41:51,srch_000000012735,usr_000008019,lst_000023016,private,,private,16678.14,0,12,0.0201,21.02,message
cnt_000000000038,2023-08-27,2023-08-27T18:51:53,srch_000000013166,usr_000009811,lst_000031669,dealer,dlr_000118,small,1897.16,1,14,0.0387,1.46,call
cnt_000000000039,2023-08-27,2023-08-27T08:40:08,srch_000000013232,usr_000017025,lst_000015404,dealer,dlr_000043,enterprise,19005.59,0,19,0.0242,8.79,message
cnt_000000000040,2023-08-27,2023-08-27T09:55:19,srch_000000013285,usr_000014983,lst_000016962,dealer,dlr_000007,small,11201.58,1,11,-0.023,13.04,call
cnt_000000000041,2023-08-27,2023-08-27T16:00:48,srch_000000013401,usr_000010075,lst_000005724,dealer,dlr_000204,mid,5261.59,0,14,-0.0212,20.26,message
cnt_000000000042,2023-08-28,2023-08-28T15:11:25,srch_000000013552,usr_000007623,lst_000022421,dealer,dlr_000105,small,4711.06,1,24,0.0081,16.23,message
cnt_000000000043,2023-08-28,2023-08-28T12:40:37,srch_000000013591,usr_000014402,lst_000005080,dealer,dlr_000188,mid,18426.42,1,7,-0.0536,12.93,call
cnt_000000000044,2023-08-29,2023-08-29T14:58:11,srch_000000014060,usr_000009757,lst_000002837,dealer,dlr_000105,small,2475.89,0,14,-0.0344,16.23,call
cnt_000000000045,2023-08-29,2023-08-29T14:01:19,srch_000000014330,usr_000013988,lst_000014311,dealer,dlr_000212,mid,9124.36,1,15,0.0707,9.05,message
cnt_000000000046,2023-08-30,2023-08-30T21:33:40,srch_000000014502,usr_000021252,lst_000019740,dealer,dlr_000227,mid,2871.67,0,19,0.0791,12.4,chat
cnt_000000000047,2023-08-30,2023-08-30T10:22:28,srch_000000014556,usr_000011386,lst_000012843,dealer,dlr_000013,mid,11660.69,1,18,0.0507,8.96,chat
cnt_000000000048,2023-08-30,2023-08-30T19:42:37,srch_000000014648,usr_000013354,lst_000021969,dealer,dlr_000245,mid,19142.32,0,11,0.0083,15.49,call
cnt_000000000049,2023-08-30,2023-08-30T08:32:55,srch_000000014744,usr_000014415,lst_000028287,dealer,dlr_000254,small,8384.76,0,13,0.0643,7.31,call
cnt_000000000050,2023-08-31,2023-08-31T12:00:06,srch_000000015073,usr_000021923,lst_000029101,private,,private,8501.92,0,21,-0.0025,36.35,call
cnt_000000000051,2023-08-31,2023-08-31T19:53:47,srch_000000015090,usr_000018239,lst_000008026,dealer,dlr_000172,mid,14741.21,1,19,0.0281,11.38,chat
cnt_000000000052,2023-08-31,2023-08-31T10:28:07,srch_000000015365,usr_000005708,lst_000010268,dealer,dlr_000277,mid,21763.51,1,15,0.0326,6.14,message
cnt_000000000053,2023-09-01,2023-09-01T16:00:25,srch_000000015607,usr_000001329,lst_000015287,dealer,dlr_000010,small,24406.26,0,16,0.0284,2.57,call
cnt_000000000054,2023-09-01,2023-09-01T10:02:36,srch_000000015709,usr_000006620,lst_000011106,dealer,dlr_000237,mid,9381.49,1,19,-0.0169,3.15,call
cnt_000000000055,2023-09-01,2023-09-01T14:34:18,srch_000000015926,usr_000019757,lst_000006300,dealer,dlr_000039,small,25305.13,0,16,0.0375,9.65,chat
cnt_000000000056,2023-09-02,2023-09-02T08:32:20,srch_000000015993,usr_000014620,lst_000013575,dealer,dlr_000124,small,11998.55,0,12,-0.0307,17.75,call
cnt_000000000057,2023-09-02,2023-09-02T19:38:58,srch_000000016108,usr_000006080,lst_000008631,dealer,dlr_000033,mid,4026.94,0,10,0.031,18.24,message
cnt_000000000058,2023-09-03,2023-09-03T10:10:51,srch_000000016576,usr_000003303,lst_000027343,dealer,dlr_000191,enterprise,7254.95,1,10,0.0816,8.24,message
cnt_000000000059,2023-09-03,2023-09-03T12:14:24,srch_000000016598,usr_000006359,lst_000019686,dealer,dlr_000216,mid,17643.63,0,21,-0.0153,1.86,call
cnt_000000000060,2023-09-04,2023-09-04T22:26:30,srch_000000017136,usr_000004127,lst_000016125,dealer,dlr_000242,small,5739.28,0,12,-0.0008,24.97,call
cnt_000000000061,2023-09-04,2023-09-04T18:00:46,srch_000000017476,usr_000003238,lst_000002335,dealer,dlr_000026,mid,13754.9,0,8,0.0318,11.72,message
cnt_000000000062,2023-09-06,2023-09-06T14:05:50,srch_000000018069,usr_000008788,lst_000003182,dealer,dlr_000230,small,11943.8,1,18,0.0492,9.77,message
cnt_000000000063,2023-09-06,2023-09-06T08:05:27,srch_000000018428,usr_000016274,lst_000014748,dealer,dlr_000055,small,25811.54,1,25,0.0543,3.9,message
cnt_000000000064,2023-09-07,2023-09-07T19:49:05,srch_000000018455,usr_000011098,lst_000005224,dealer,dlr_000156,mid,9232.04,1,15,-0.0748,7.54,message
cnt_000000000065,2023-09-09,2023-09-09T18:52:01,srch_000000019675,usr_000008414,lst_000003663,dealer,dlr_000195,mid,27917.06,1,12,-0.0013,12.38,message
cnt_000000000066,2023-09-10,2023-09-10T20:03:41,srch_000000020207,usr_000007688,lst_000012928,dealer,dlr_000188,mid,2821.18,1,20,0.0461,12.93,call
cnt_000000000067,2023-09-10,2023-09-10T15:24:57,srch_000000020391,usr_000012180,lst_000017161,private,,private,7611.76,0,13,0.0057,30.94,call
cnt_000000000068,2023-09-11,2023-09-11T20:19:34,srch_000000020637,usr_000011587,lst_000025515,dealer,dlr_000207,small,29265.29,1,17,0.0048,6.58,call
cnt_000000000069,2023-09-12,2023-09-12T18:44:15,srch_000000021076,usr_000005577,lst_000020257,dealer,dlr_000124,small,22332.97,0,13,0.0004,17.75,chat
cnt_000000000070,2023-09-12,2023-09-12T13:19:32,srch_000000021168,usr_000000226,lst_000000076,dealer,dlr_000000,mid,4136.72,0,14,0.0022,14.65,message
cnt_000000000071,2023-09-13,2023-09-13T14:19:41,srch_000000021809,usr_000016844,lst_000015479,dealer,dlr_000030,small,19016.32,0,13,-0.0336,12.92,chat
cnt_000000000072,2023-09-14,2023-09-14T22:55:03,srch_000000022061,usr_000003558,lst_000024199,dealer,dlr_000125,enterprise,3965.41,0,9,0.0533,0.5,call
cnt_000000000073,2023-09-15,2023-09-15T07:54:41,srch_000000022441,usr_000002118,lst_000030256,dealer,dlr_000204,mid,20058.46,1,15,0.0345,20.26,call
cnt_000000000074,2023-09-15,2023-09-15T09:43:21,srch_000000022443,usr_000004914,lst_000004445,dealer,dlr_000278,mid,7671.94,1,14,0.0676,15.38,call
cnt_000000000075,2023-09-15,2023-09-15T22:08:23,srch_000000022447,usr_000018239,lst_000016125,dealer,dlr_000242,small,5739.28,0,12,-0.0008,24.97,message
cnt_000000000076,2023-09-15,2023-09-15T08:48:11,srch_000000022476,usr_000014032,lst_000018915,dealer,dlr_000168,enterprise,27933.93,1,18,-0.0286,2.39,chat
cnt_000000000077,2023-09-16,2023-09-16T18:50:59,srch_000000022947,usr_000021535,lst_000030359,private,,private,8001.03,0,9,0.0323,36.92,message
cnt_000000000078,2023-09-16,2023-09-16T17:21:26,srch_000000023125,usr_000021252,lst_000005221,dealer,dlr_000201,mid,10047.48,0,18,0.0512,13.59,message
cnt_000000000079,2023-09-16,2023-09-16T21:18:51,srch_000000023195,usr_000011419,lst_000028490,dealer,dlr_000140,small,8836.31,1,8,0.0478,14.58,chat
cnt_000000000080,2023-09-17,2023-09-17T17:06:28,srch_000000023403,usr_000006844,lst_000017584,dealer,dlr_000011,small,18369.92,1,9,0.0807,13.66,message
cnt_000000000081,2023-09-17,2023-09-17T09:33:24,srch_000000023550,usr_000007611,lst_000004029,dealer,dlr_000118,small,19422.68,1,10,0.0458,1.46,message
cnt_000000000082,2023-09-18,2023-09-18T19:18:45,srch_000000024037,usr_000019940,lst_000008938,dealer,dlr_000040,small,14844.29,0,12,0.011,2.83,message
cnt_000000000083,2023-09-19,2023-09-19T09:35:33,srch_000000024721,usr_000007483,lst_000018807,private,,private,6420.27,0,13,-0.0226,40.72,chat
cnt_000000000084,2023-09-20,2023-09-20T10:17:01,srch_000000025137,usr_000011731,lst_000012121,private,,private,2758.49,1,12,0.0376,10.05,call
cnt_000000000085,2023-09-21,2023-09-21T07:02:46,srch_000000025385,usr_000001345,lst_000017404,dealer,dlr_000266,small,14871.08,0,19,0.0042,3.78,call
cnt_000000000086,2023-09-21,2023-09-21T15:10:31,srch_000000025467,usr_000002099,lst_000011026,dealer,dlr_000171,small,22554.51,0,17,-0.0108,9.87,chat
cnt_000000000087,2023-09-22,2023-09-22T08:48:51,srch_000000025977,usr_000003391,lst_000005200,dealer,dlr_000098,small,10508.32,1,12,0.0371,7.04,call
cnt_000000000088,2023-09-22,2023-09-22T14:32:12,srch_000000026236,usr_000020845,lst_000015945,dealer,dlr_000172,mid,15361.9,0,16,0.0427,11.38,call
cnt_000000000089,2023-09-23,2023-09-23T18:33:42,srch_000000026418,usr_000008540,lst_000022390,dealer,dlr_000146,small,7270.73,0,11,0.0824,2.0,message
cnt_000000000090,2023-09-23,2023-09-23T12:23:44,srch_000000026443,usr_000019913,lst_000000617,dealer,dlr_000032,small,10110.78,0,11,0.0308,12.07,call
cnt_000000000091,2023-09-23,2023-09-23T11:28:05,srch_000000026695,usr_000010639,lst_000031994,dealer,dlr_000105,small,3921.27,1,13,0.0306,16.23,chat
cnt_000000000092,2023-09-24,2023-09-24T21:05:10,srch_000000026997,usr_000007528,lst_000024750,dealer,dlr_000102,mid,4847.81,0,22,0.0302,15.53,chat
cnt_000000000093,2023-09-25,2023-09-25T20:50:01,srch_000000027265,usr_000008769,lst_000015737,dealer,dlr_000258,mid,16780.49,1,20,0.1435,8.19,message
cnt_000000000094,2023-09-26,2023-09-26T16:22:10,srch_000000028058,usr_000017868,lst_000018369,dealer,dlr_000132,small,3978.74,0,14,0.0063,5.27,message
cnt_000000000095,2023-09-28,2023-09-28T16:47:50,srch_000000028779,usr_000009284,lst_000015176,dealer,dlr_000247,mid,12095.06,1,18,0.0198,4.06,message
cnt_000000000096,2023-09-28,2023-09-28T15:14:09,srch_000000028971,usr_000005796,lst_000006705,dealer,dlr_000041,small,4143.08,1,12,0.0523,16.14,chat
cnt_000000000097,2023-09-29,2023-09-29T20:43:35,srch_000000029160,usr_000011952,lst_000022164,dealer,dlr_000114,small,11869.58,0,19,0.0663,9.07,call
cnt_000000000098,2023-09-29,2023-09-29T17:11:45,srch_000000029312,usr_000000484,lst_000030761,dealer,dlr_000113,small,32946.08,1,15,0.0673,13.85,call
cnt_000000000099,2023-09-29,2023-09-29T18:15:14,srch_000000029508,usr_000018394,lst_000007531,dealer,dlr_000149,small,8386.09,0,11,0.0075,26.24,call
cnt_000000000100,2023-09-30,2023-09-30T22:05:52,srch_000000029737,usr_000004537,lst_000030636,dealer,dlr_000040,small,16749.72,0,12,0.029,2.83,call
cnt_000000000101,2023-10-01,2023-10-01T10:52:49,srch_000000030448,usr_000001314,lst_000027719,private,,private,29183.03,0,13,-0.0412,1.0,call
cnt_000000000102,2023-10-01,2023-10-01T07:54:34,srch_000000030505,usr_000010231,lst_000026365,dealer,dlr_000025,small,9095.26,0,19,-0.0273,7.05,chat
cnt_000000000103,2023-10-01,2023-10-01T08:52:03,srch_000000030507,usr_000000205,lst_000012278,dealer,dlr_000027,small,19507.51,0,17,0.0183,7.66,call
cnt_000000000104,2023-10-03,2023-10-03T15:33:59,srch_000000031190,usr_000020339,lst_000016880,dealer,dlr_000061,small,5409.12,0,7,0.1022,12.88,chat
cnt_000000000105,2023-10-03,2023-10-03T09:41:51,srch_000000031465,usr_000010521,lst_000014992,dealer,dlr_000257,small,21866.64,1,15,0.0299,9.92,call
cnt_000000000106,2023-10-03,2023-10-03T13:24:53,srch_000000031481,usr_000005084,lst_000014617,dealer,dlr_000154,small,3929.37,1,12,0.0148,10.37,call
cnt_000000000107,2023-10-04,2023-10-04T13:06:57,srch_000000031807,usr_000015961,lst_000004105,dealer,dlr_000256,small,18035.56,0,17,-0.0143,21.61,call
cnt_000000000108,2023-10-05,2023-10-05T18:25:16,srch_000000032360,usr_000000197,lst_000000749,dealer,dlr_000163,mid,8010.53,0,11,0.0745,12.38,message
cnt_000000000109,2023-10-05,2023-10-05T18:43:24,srch_000000032367,usr_000018743,lst_000015746,dealer,dlr_000027,small,26123.68,1,16,0.0434,7.66,message
cnt_000000000110,2023-10-05,2023-10-05T09:13:04,srch_000000032455,usr_000011870,lst_000012722,dealer,dlr_000113,small,5048.53,0,9,0.0673,13.85,message
cnt_000000000111,2023-10-07,2023-10-07T20:24:47,srch_000000033249,usr_000018175,lst_000014279,dealer,dlr_000110,enterprise,20260.61,0,21,0.0201,4.27,message
cnt_000000000112,2023-10-07,2023-10-07T22:49:55,srch_000000033337,usr_000020754,lst_000012985,private,,private,5335.01,0,14,0.0054,35.12,call
cnt_000000000113,2023-10-08,2023-10-08T17:07:00,srch_000000033605,usr_000011698,lst_000014752,dealer,dlr_000023,mid,9099.09,0,7,0.003,10.72,call
cnt_000000000114,2023-10-08,2023-10-08T15:58:36,srch_000000033768,usr_000008309,lst_000016378,dealer,dlr_000010,small,9069.26,0,14,-0.0098,2.57,message
cnt_000000000115,2023-10-08,2023-10-08T10:38:59,srch_000000033784,usr_000001263,lst_000006463,dealer,dlr_000102,mid,1367.75,1,18,0.0094,15.53,call
cnt_000000000116,2023-10-09,2023-10-09T20:58:33,srch_000000034160,usr_000018568,lst_000021001,dealer,dlr_000038,small,3525.65,0,11,0.0726,1.68,message
cnt_000000000117,2023-10-09,2023-10-09T17:38:54,srch_000000034271,usr_000010764,lst_000030201,dealer,dlr_000120,mid,24125.69,0,12,0.033,18.28,call
cnt_000000000118,2023-10-09,2023-10-09T08:08:03,srch_000000034365,usr_000005214,lst_000009709,dealer,dlr_000040,small,2618.75,1,13,-0.0209,2.83,call
cnt_000000000119,2023-10-10,2023-10-10T10:49:51,srch_000000034621,usr_000005019,lst_000012759,dealer,dlr_000021,mid,8159.49,1,16,-0.0059,11.59,call
cnt_000000000120,2023-10-11,2023-10-11T10:51:28,srch_000000035112,usr_000019830,lst_000012048,dealer,dlr_000053,mid,19202.36,1,9,0.0104,10.32,message
cnt_000000000121,2023-10-11,2023-10-11T15:00:08,srch_000000035379,usr_000006510,lst_000023993,dealer,dlr_000054,mid,4498.23,0,13,0.0428,15.01,message
cnt_000000000122,2023-10-12,2023-10-12T10:12:34,srch_000000035513,usr_000003109,lst_000012928,dealer,dlr_000188,mid,2821.18,1,20,0.0461,12.93,call
cnt_000000000123,2023-10-12,2023-10-12T09:20:54,srch_000000035682,usr_000015817,lst_000008276,dealer,dlr_000195,mid,20602.68,1,14,0.0268,12.38,message
cnt_000000000124,2023-10-12,2023-10-12T15:41:48,srch_000000035757,usr_000015748,lst_000030281,dealer,dlr_000159,enterprise,18789.73,1,14,0.0201,10.41,call
cnt_000000000125,2023-10-13,2023-10-13T20:19:44,srch_000000035941,usr_000014792,lst_000003244,dealer,dlr_000039,small,13608.82,0,16,-0.0411,9.65,chat
cnt_000000000126,2023-10-13,2023-10-13T20:37:30,srch_000000036066,usr_000015747,lst_000017448,dealer,dlr_000264,enterprise,7387.62,1,19,0.0181,17.88,chat
cnt_000000000127,2023-10-13,2023-10-13T13:44:27,srch_000000036239,usr_000009103,lst_000025515,dealer,dlr_000207,small,29265.29,1,17,0.0048,6.58,message
cnt_000000000128,2023-10-13,2023-10-13T17:46:10,srch_000000036260,usr_000019638,lst_000001414,dealer,dlr_000030,small,8604.86,1,21,0.0915,12.92,message
cnt_000000000129,2023-10-14,2023-10-14T09:15:05,srch_000000036759,usr_000000054,lst_000022226,dealer,dlr_000075,small,10526.03,1,14,0.0217,8.63,call
cnt_000000000130,2023-10-15,2023-10-15T09:40:25,srch_000000037084,usr_000000235,lst_000009547,dealer,dlr_000064,small,17038.42,1,10,0.0345,10.56,call
cnt_000000000131,2023-10-15,2023-10-15T09:47:39,srch_000000037279,usr_000018022,lst_000010635,dealer,dlr_000167,small,8791.19,0,17,-0.0097,11.8,message
cnt_000000000132,2023-10-15,2023-10-15T11:56:12,srch_000000037286,usr_000011511,lst_000015387,dealer,dlr_000252,small,10861.24,0,15,-0.0064,15.38,message
cnt_000000000133,2023-10-15,2023-10-15T07:37:05,srch_000000037349,usr_000005644,lst_000031907,private,,private,22060.0,0,13,0.0125,24.06,message
cnt_000000000134,2023-10-15,2023-10-15T17:03:41,srch_000000037367,usr_000009430,lst_000028496,dealer,dlr_000143,small,5457.99,1,18,0.0035,16.77,message
cnt_000000000135,2023-10-15,2023-10-15T12:17:07,srch_000000037381,usr_000002471,lst_000000253,dealer,dlr_000000,mid,3851.59,0,15,0.0193,14.65,chat
cnt_000000000136,2023-10-17,2023-10-17T13:44:36,srch_000000038196,usr_000003796,lst_000021350,dealer,dlr_000171,small,22519.83,0,19,0.0259,9.87,message
cnt_000000000137,2023-10-18,2023-10-18T10:11:14,srch_000000038304,usr_000017622,lst_000013830,dealer,dlr_000058,mid,8743.73,0,8,-0.0625,21.47,message
cnt_000000000138,2023-10-18,2023-10-18T08:06:16,srch_000000038365,usr_000013738,lst_000013327,dealer,dlr_000079,mid,12814.67,1,17,0.0103,9.83,call
cnt_000000000139,2023-10-19,2023-10-19T13:54:23,srch_000000039175,usr_000008774,lst_000022640,dealer,dlr_000102,mid,15653.18,0,15,-0.0615,15.53,message
cnt_000000000140,2023-10-21,2023-10-21T14:42:08,srch_000000039994,usr_000003315,lst_000030672,dealer,dlr_000252,small,18298.97,0,15,0.0743,15.38,call
cnt_000000000141,2023-10-21,2023-10-21T19:26:05,srch_000000040135,usr_000016161,lst_000030074,private,,private,25046.69,0,12,0.0002,14.29,chat
cnt_000000000142,2023-10-25,2023-10-25T15:23:08,srch_000000041663,usr_000007536,lst_000024992,dealer,dlr_000018,small,20564.72,1,12,-0.0539,5.25,message
cnt_000000000143,2023-10-25,2023-10-25T22:52:28,srch_000000041750,usr_000003729,lst_000021462,dealer,dlr_000144,enterprise,18825.72,1,13,0.0258,2.5,chat
cnt_000000000144,2023-10-25,2023-10-25T14:14:01,srch_000000041866,usr_000010018,lst_000010414,dealer,dlr_000234,small,5928.66,0,12,0.0751,3.54,message
cnt_000000000145,2023-10-26,2023-10-26T07:23:48,srch_000000042288,usr_000021955,lst_000007260,dealer,dlr_000016,small,9307.77,1,10,0.0966,16.94,call
cnt_000000000146,2023-10-27,2023-10-27T15:02:49,srch_000000042934,usr_000014848,lst_000021350,dealer,dlr_000171,small,22519.83,0,19,0.0259,9.87,message
cnt_000000000147,2023-10-28,2023-10-28T15:34:53,srch_000000043421,usr_000019269,lst_000012955,dealer,dlr_000226,mid,6621.39,0,18,-0.0226,22.45,message
cnt_000000000148,2023-10-28,2023-10-28T18:55:48,srch_000000043519,usr_000012274,lst_000029574,dealer,dlr_000270,mid,4586.26,0,15,-0.023,17.96,message
cnt_000000000149,2023-10-29,2023-10-29T20:35:35,srch_000000043666,usr_000003367,lst_000028174,private,,private,11289.41,0,10,-0.0614,2.74,call
cnt_000000000150,2023-10-30,2023-10-30T14:03:48,srch_000000044033,usr_000011624,lst_000000380,dealer,dlr_000226,mid,2936.78,1,16,-0.0305,22.45,call
cnt_000000000151,2023-10-30,2023-10-30T22:21:17,srch_000000044210,usr_000020996,lst_000004999,dealer,dlr_000198,small,10339.6,0,23,0.0268,24.03,message
cnt_000000000152,2023-10-30,2023-10-30T16:09:05,srch_000000044340,usr_000016591,lst_000015648,dealer,dlr_000203,small,2435.75,0,10,0.0729,26.82,message
cnt_000000000153,2023-11-01,2023-11-01T17:44:54,srch_000000044980,usr_000010902,lst_000029235,dealer,dlr_000089,enterprise,3213.67,0,18,-0.0152,9.06,call
cnt_000000000154,2023-11-01,2023-11-01T11:16:12,srch_000000045004,usr_000017729,lst_000017656,dealer,dlr_000270,mid,7702.44,0,11,0.0073,17.96,call
cnt_000000000155,2023-11-01,2023-11-01T14:55:08,srch_000000045214,usr_000018194,lst_000023993,dealer,dlr_000054,mid,4498.23,0,13,0.0428,15.01,message
cnt_000000000156,2023-11-01,2023-11-01T11:45:53,srch_000000045227,usr_000009616,lst_000017250,private,,private,4362.91,0,9,0.0035,16.6,message
cnt_000000000157,2023-11-01,2023-11-01T18:44:27,srch_000000045262,usr_000002965,lst_000003925,dealer,dlr_000029,mid,21101.47,1,15,-0.0012,10.33,chat
cnt_000000000158,2023-11-01,2023-11-01T10:23:50,srch_000000045329,usr_000018461,lst_000029139,dealer,dlr_000131,small,3562.36,0,12,0.0908,8.84,message
cnt_000000000159,2023-11-02,2023-11-02T18:30:23,srch_000000045585,usr_000001273,lst_000000252,dealer,dlr_000225,small,8906.3,1,14,0.0804,4.61,message
cnt_000000000160,2023-11-02,2023-11-02T21:13:03,srch_000000045693,usr_000007302,lst_000026173,dealer,dlr_000242,small,14008.54,1,17,0.0825,24.97,chat
cnt_000000000161,2023-11-03,2023-11-03T09:15:03,srch_000000045868,usr_000002637,lst_000026271,dealer,dlr_000090,small,30571.09,0,16,0.0008,9.17,chat
cnt_000000000162,2023-11-03,2023-11-03T16:21:11,srch_000000045929,usr_000020508,lst_000023703,private,,private,6504.64,0,16,-0.0087,28.12,message
cnt_000000000163,2023-11-03,2023-11-03T22:32:11,srch_000000046299,usr_000007021,lst_000014538,dealer,dlr_000014,small,6547.18,0,12,0.0473,7.61,chat
cnt_000000000164,2023-11-04,2023-11-04T17:02:01,srch_000000046408,usr_000012788,lst_000031982,dealer,dlr_000247,mid,4578.83,0,16,0.0121,4.06,message
