listing_id,seller_type,dealer_id,make,fuel_type,transmission,vehicle_year,vehicle_age_years,mileage_km,listed_price_eur,base_market_price_eur,price_position_vs_market,photo_count,description_length,is_featured,listing_created_date,listing_delisted_date,is_active
lst_000000017,dealer,dlr_000116,Renault,petrol,automatic,2017,9,183761,8790.37,8045.28,0.0926,10,908,0,2025-10-01,2025-10-14,0
lst_000000018,dealer,dlr_000044,BMW,diesel,automatic,2016,10,204369,11715.62,11183.67,0.0476,20,765,0,2026-01-24,2026-01-29,0
lst_000000019,dealer,dlr_000022,Opel,diesel,manual,2009,17,307683,1689.83,1623.55,0.0408,8,30,0,2025-11-08,2025-11-20,0
lst_000000020,dealer,dlr_000088,Opel,diesel,manual,2020,6,132350,11703.4,12077.86,-0.031,12,349,1,2025-05-17,2025-06-29,0
lst_000000021,dealer,dlr_000047,Skoda,petrol,automatic,2020,6,58087,15055.04,14327.32,0.0508,18,311,0,2025-05-31,2025-07-10,0
lst_000000022,dealer,dlr_000258,VW,petrol,manual,2022,4,75844,20139.32,19230.57,0.0473,14,254,0,2023-08-28,2023-10-10,0
lst_000000023,dealer,dlr_000017,Peugeot,petrol,manual,2014,12,217248,4565.42,4434.88,0.0294,12,478,0,2025-02-06,2025-03-08,0
lst_000000024,dealer,dlr_000022,Toyota,petrol,automatic,2012,14,305641,4777.29,4761.99,0.0032,13,231,0,2023-10-12,2023-11-05,0
lst_000000025,dealer,dlr_000035,Fiat,petrol,automatic,2017,9,163294,9632.95,9104.64,0.058,13,424,0,2023-12-17,2024-01-02,0
lst_000000026,dealer,dlr_000248,Mercedes,diesel,manual,2018,8,153453,13527.57,13020.54,0.0389,8,625,0,2025-02-01,2025-03-20,0
lst_000000027,dealer,dlr_000069,VW,diesel,automatic,2014,12,212564,6354.62,6164.48,0.0308,20,695,0,2024-02-28,2024-03-24,0
lst_000000028,dealer,dlr_000178,Fiat,hybrid,automatic,2024,2,60116,21714.84,20830.27,0.0425,12,828,1,2025-01-28,2025-03-18,0
lst_000000029,dealer,dlr_000062,Ford,petrol,automatic,2024,2,0,21864.87,22103.89,-0.0108,23,738,0,2023-11-30,2023-12-16,0
lst_000000030,private,,Opel,petrol,manual,2009,17,291651,3286.88,3622.86,-0.0927,15,630,0,2024-04-11,2024-05-09,0
lst_000000031,dealer,dlr_000019,Audi,diesel,automatic,2020,6,111785,18767.62,17366.68,0.0807,17,79,1,2024-10-24,2024-12-26,0
lst_000000032,dealer,dlr_000168,Ford,diesel,automatic,2020,6,115153,13735.48,13319.44,0.0312,15,205,1,2025-02-26,2025-03-11,0
lst_000000033,dealer,dlr_000160,BMW,electric,manual,2014,12,241209,8732.17,7591.61,0.1502,9,1101,0,2024-03-25,2024-05-02,0
lst_000000034,dealer,dlr_000024,Mercedes,electric,manual,2024,2,0,32009.66,31473.69,0.017,16,661,1,2024-12-01,2024-12-23,0
lst_000000035,dealer,dlr_000129,VW,diesel,automatic,2015,11,219670,7067.54,6613.71,0.0686,16,376,0,2024-09-27,2024-10-25,0
lst_000000036,dealer,dlr_000247,Audi,diesel,manual,2011,15,288318,6416.37,6130.19,0.0467,20,559,1,2025-10-10,2025-10-27,0
lst_000000037,dealer,dlr_000237,Audi,petrol,automatic,2019,7,134567,15047.9,16121.17,-0.0666,13,406,0,2025-06-23,2025-07-08,0
lst_000000038,private,,Skoda,diesel,automatic,2018,8,141314,9929.03,10791.24,-0.0799,7,968,0,2024-01-09,2024-02-27,0
lst_000000039,dealer,dlr_000053,Skoda,petrol,manual,2020,6,90079,12837.0,13581.22,-0.0548,15,240,0,2024-08-31,2024-09-22,0
lst_000000040,dealer,dlr_000228,Audi,hybrid,automatic,2023,3,100591,26108.85,25899.95,0.0081,5,934,0,2025-02-26,2025-04-29,0
lst_000000041,dealer,dlr_000064,Opel,electric,automatic,2018,8,110309,12423.16,11626.81,0.0685,11,569,0,2023-12-03,2024-01-07,0
lst_000000042,private,,Opel,petrol,automatic,2025,1,32420,23153.99,23597.38,-0.0188,8,178,0,2024-03-13,2024-03-26,0
lst_000000043,dealer,dlr_000051,VW,petrol,manual,2022,4,105231,20875.8,19696.13,0.0599,14,540,1,2025-09-28,2025-10-16,0
lst_000000044,dealer,dlr_000158,Mercedes,diesel,manual,2025,1,45511,36529.47,35471.27,0.0298,13,1014,1,2025-02-10,2025-03-28,0
lst_000000045,dealer,dlr_000084,Toyota,diesel,manual,2023,3,69817,22729.65,22723.17,3.0E-4,11,381,1,2025-08-01,2025-08-16,0
lst_000000046,dealer,dlr_000189,VW,hybrid,manual,2016,10,203340,9925.35,9256.77,0.0722,15,720,0,2024-01-14,2024-01-31,0
lst_000000047,dealer,dlr_000000,VW,diesel,manual,2018,8,179723,12571.41,12186.92,0.0315,12,364,1,2025-09-10,2025-11-24,0
lst_000000048,dealer,dlr_000246,BMW,hybrid,manual,2012,14,268559,8009.86,7685.47,0.0422,18,959,0,2024-04-01,2024-05-05,0
lst_000000049,dealer,dlr_000107,Skoda,electric,automatic,2009,17,289254,4205.93,4100.56,0.0257,11,930,0,2023-09-23,2023-12-03,0
lst_000000050,dealer,dlr_000103,BMW,petrol,manual,2024,2,0,30992.09,29568.35,0.0482,11,383,0,2024-08-22,2024-10-05,0
lst_000000051,dealer,dlr_000230,Mercedes,petrol,manual,2011,15,285792,5801.34,5461.74,0.0622,18,43,0,2024-09-05,2024-09-28,0
lst_000000052,dealer,dlr_000043,Renault,hybrid,automatic,2010,16,292352,4918.21,4574.02,0.0752,12,231,1,2023-09-24,2023-10-25,0
lst_000000053,dealer,dlr_000062,Renault,petrol,manual,2013,13,242285,6114.41,6117.98,-6.0E-4,17,512,1,2024-05-23,2024-05-30,0
lst_000000054,dealer,dlr_000115,BMW,petrol,automatic,2018,8,160545,15139.34,13871.99,0.0914,11,578,0,2023-10-04,2023-11-05,0
lst_000000055,private,,VW,petrol,manual,2010,16,309355,6079.21,6014.68,0.0107,9,302,0,2024-07-24,2024-08-07,0
lst_000000056,private,,VW,diesel,automatic,2021,5,102012,14164.13,15354.51,-0.0775,12,1032,0,2025-06-26,2025-08-13,0
lst_000000057,dealer,dlr_000049,Ford,petrol,manual,2008,18,326367,927.29,900.0,0.0303,21,587,0,2024-08-22,2024-09-24,0
lst_000000058,dealer,dlr_000154,BMW,electric,manual,2008,18,350000,6169.84,5955.11,0.0361,14,371,0,2024-05-24,2024-06-20,0
lst_000000059,dealer,dlr_000017,Hyundai,hybrid,automatic,2021,5,59652,15954.48,15700.58,0.0162,10,30,0,2025-06-06,2025-06-29,0
lst_000000060,private,,Mercedes,petrol,automatic,2012,14,264716,9175.38,8262.49,0.1105,15,314,0,2024-01-11,2024-02-02,0
lst_000000061,dealer,dlr_000050,Hyundai,hybrid,manual,2016,10,184949,9939.39,9639.46,0.0311,12,451,0,2024-06-20,2024-08-04,0
lst_000000062,private,,BMW,diesel,manual,2018,8,137281,12777.17,13625.5,-0.0623,19,607,0,2025-05-18,2025-05-30,0
lst_000000063,dealer,dlr_000104,Ford,hybrid,manual,2023,3,36696,21078.72,19746.19,0.0675,18,482,1,2026-01-28,,1
lst_000000064,dealer,dlr_000137,VW,hybrid,automatic,2012,14,224559,5597.8,5312.32,0.0537,12,706,1,2024-06-16,2024-08-10,0
lst_000000065,dealer,dlr_000241,BMW,diesel,manual,2023,3,10000,26556.12,27095.21,-0.0199,17,360,0,2023-11-01,2023-11-14,0
lst_000000066,dealer,dlr_000272,Renault,petrol,manual,2021,5,105288,15018.83,15258.56,-0.0157,11,589,0,2025-03-26,2025-04-15,0
lst_000000067,private,,Mercedes,petrol,manual,2010,16,290408,3334.3,3577.51,-0.068,10,881,0,2024-11-24,2024-12-01,0
lst_000000068,dealer,dlr_000253,BMW,hybrid,automatic,2015,11,195751,9770.26,9542.85,0.0238,15,394,0,2023-09-13,2023-10-23,0
lst_000000069,dealer,dlr_000267,BMW,petrol,automatic,2013,13,205933,7968.49,7869.73,0.0125,10,158,0,2024-01-20,2024-02-10,0
lst_000000070,dealer,dlr_000186,Skoda,petrol,automatic,2008,18,315802,3603.57,3393.13,0.062,17,267,0,2025-07-23,2025-08-17,0
lst_000000071,dealer,dlr_000019,BMW,diesel,automatic,2015,11,190981,9235.19,8863.91,0.0419,10,956,0,2025-01-25,2025-02-14,0
lst_000000072,dealer,dlr_000048,Mercedes,electric,automatic,2011,15,274583,7385.21,7159.66,0.0315,15,666,0,2024-08-29,2024-09-20,0
lst_000000073,dealer,dlr_000183,Mercedes,diesel,automatic,2021,5,31064,22222.5,21229.35,0.0468,17,286,1,2024-11-08,2024-11-19,0
lst_000000074,dealer,dlr_000177,Hyundai,diesel,automatic,2019,7,133138,11124.54,11087.33,0.0034,20,729,0,2024-01-29,2024-02-25,0
lst_000000075,dealer,dlr_000220,Toyota,hybrid,automatic,2017,9,168079,9986.68,9826.58,0.0163,15,944,0,2025-11-04,2025-12-15,0
lst_000000076,dealer,dlr_000000,Ford,petrol,manual,2012,14,222917,4136.72,4127.55,0.0022,14,327,0,2023-08-15,2023-10-04,0
lst_000000077,dealer,dlr_000098,Audi,petrol,automatic,2015,11,183530,9644.92,9137.5,0.0555,14,567,0,2025-12-25,2026-01-28,0
lst_000000078,dealer,dlr_000082,Hyundai,petrol,automatic,2018,8,160035,9560.99,9141.69,0.0459,17,347,0,2025-06-21,2025-07-20,0
lst_000000079,private,,VW,diesel,manual,2010,16,268342,4418.37,4942.8,-0.1061,16,546,0,2025-05-18,2025-07-02,0
lst_000000080,dealer,dlr_000243,BMW,diesel,manual,2022,4,88099,22999.15,24190.68,-0.0493,22,30,0,2025-04-23,2025-05-04,0
lst_000000081,dealer,dlr_000083,VW,petrol,automatic,2025,1,0,28860.26,27994.22,0.0309,18,939,0,2026-01-25,,1
lst_000000082,private,,Skoda,petrol,manual,2019,7,141551,10469.3,11636.15,-0.1003,16,307,0,2025-11-20,2025-12-12,0
lst_000000083,private,,Toyota,petrol,manual,2018,8,126192,10177.91,10726.98,-0.0512,21,465,0,2025-11-07,2025-12-07,0
lst_000000084,dealer,dlr_000234,Toyota,petrol,automatic,2019,7,148838,14258.19,13101.5,0.0883,17,416,0,2025-04-16,2025-04-26,0
lst_000000085,dealer,dlr_000169,Mercedes,petrol,automatic,2017,9,159037,12974.88,12065.66,0.0754,18,723,0,2025-10-26,2025-11-18,0
lst_000000086,dealer,dlr_000016,Toyota,electric,automatic,2025,1,14637,30136.94,30464.79,-0.0108,12,452,0,2025-10-14,2025-12-08,0
lst_000000087,dealer,dlr_000229,BMW,hybrid,automatic,2011,15,242387,6109.64,6379.06,-0.0422,15,691,1,2025-06-13,2025-07-21,0
lst_000000088,dealer,dlr_000071,Peugeot,hybrid,manual,2023,3,33824,17416.82,17284.45,0.0077,17,568,0,2024-12-10,2025-02-04,0
lst_000000089,dealer,dlr_000187,Mercedes,diesel,manual,2008,18,316205,4771.33,4754.93,0.0034,12,568,1,2026-01-07,,1
lst_000000090,dealer,dlr_000256,Peugeot,diesel,automatic,2008,18,324785,3019.44,2952.47,0.0227,6,606,1,2023-11-20,2023-12-01,0
lst_000000091,dealer,dlr_000147,Ford,petrol,automatic,2011,15,262542,4251.3,4291.74,-0.0094,10,606,0,2023-08-20,2023-09-19,0
lst_000000092,dealer,dlr_000102,Hyundai,petrol,automatic,2012,14,227709,4516.8,4414.51,0.0232,10,491,1,2024-06-24,2024-07-14,0
lst_000000093,dealer,dlr_000160,BMW,petrol,manual,2017,9,148017,13419.05,13576.1,-0.0116,12,481,0,2025-03-28,2025-04-27,0
lst_000000094,dealer,dlr_000134,VW,petrol,automatic,2019,7,156780,13302.46,12351.17,0.077,6,99,0,2024-04-11,2024-04-29,0
lst_000000095,dealer,dlr_000204,Toyota,petrol,automatic,2015,11,212934,9701.41,9480.33,0.0233,12,391,0,2024-04-23,2024-06-11,0
lst_000000096,dealer,dlr_000100,Hyundai,petrol,automatic,2017,9,156355,10470.81,9400.35,0.1139,10,710,0,2025-07-24,2025-08-06,0
lst_000000097,dealer,dlr_000272,BMW,petrol,automatic,2009,17,303742,3689.86,3472.78,0.0625,13,379,0,2024-09-04,2024-09-27,0
lst_000000098,dealer,dlr_000179,Peugeot,electric,automatic,2009,17,310502,1044.81,977.45,0.0689,9,291,1,2024-01-18,2024-03-05,0
lst_000000099,dealer,dlr_000096,VW,petrol,automatic,2013,13,216426,5983.42,6097.34,-0.0187,6,970,0,2024-01-31,2024-03-26,0
lst_000000100,dealer,dlr_000179,Peugeot,petrol,manual,2025,1,15426,25429.89,25127.18,0.012,12,560,1,2024-12-17,2025-01-24,0
lst_000000101,dealer,dlr_000016,Toyota,diesel,automatic,2020,6,94808,17475.78,17066.98,0.024,13,506,0,2026-01-05,2026-01-12,0
lst_000000102,dealer,dlr_000222,VW,petrol,automatic,2022,4,48194,18673.72,17779.27,0.0503,20,734,1,2024-09-29,2024-11-30,0
lst_000000103,dealer,dlr_000211,VW,hybrid,manual,2024,2,86772,24659.02,23700.28,0.0405,13,576,1,2024-06-15,2024-07-12,0
lst_000000104,private,,Fiat,petrol,manual,2008,18,320441,2215.67,2340.05,-0.0532,18,301,0,2023-10-28,2024-01-04,0
lst_000000105,dealer,dlr_000208,BMW,electric,manual,2010,16,299717,4835.63,4670.79,0.0353,16,553,0,2024-06-26,2024-08-07,0
lst_000000106,dealer,dlr_000266,Hyundai,electric,manual,2015,11,182830,7119.56,7457.11,-0.0453,20,678,1,2024-07-06,2024-08-30,0
lst_000000107,dealer,dlr_000105,BMW,hybrid,manual,2015,11,182910,11932.04,11639.38,0.0251,16,777,1,2024-09-11,2024-10-28,0
lst_000000108,dealer,dlr_000231,VW,diesel,automatic,2014,12,245405,7231.85,6998.19,0.0334,13,449,0,2024-08-26,2024-09-10,0
lst_000000109,dealer,dlr_000140,VW,petrol,manual,2016,10,163181,10570.4,10714.01,-0.0134,13,936,0,2024-01-02,2024-01-18,0
lst_000000110,dealer,dlr_000200,Renault,petrol,manual,2015,11,199186,9364.44,8604.58,0.0883,18,445,0,2025-05-30,2025-06-27,0
lst_000000111,private,,Peugeot,petrol,automatic,2014,12,246910,4626.06,4915.99,-0.059,20,693,0,2024-12-06,2024-12-27,0
lst_000000112,private,,Renault,diesel,manual,2019,7,103525,11100.32,11059.97,0.0036,12,384,0,2025-03-20,2025-04-30,0
lst_000000113,dealer,dlr_000218,BMW,petrol,automatic,2016,10,161413,9807.45,9595.52,0.0221,8,470,1,2026-01-13,2026-01-30,1
lst_000000114,dealer,dlr_000174,Opel,diesel,manual,2008,18,305851,4298.86,4081.22,0.0533,18,628,0,2024-10-10,2024-11-06,0
lst_000000115,dealer,dlr_000030,Fiat,diesel,manual,2016,10,180443,6479.06,6594.71,-0.0175,9,470,0,2025-05-16,2025-05-27,0
lst_000000116,private,,Audi,petrol,automatic,2009,17,311956,4728.25,4659.51,0.0148,15,449,0,2023-08-07,2023-10-08,0
lst_000000117,dealer,dlr_000225,Toyota,diesel,manual,2022,4,103657,19887.57,20362.29,-0.0233,18,903,1,2025-06-28,2025-07-11,0
lst_000000118,dealer,dlr_000036,VW,diesel,automatic,2011,15,282628,4360.15,4393.39,-0.0076,20,131,0,2025-11-15,2025-12-19,0
lst_000000119,private,,Toyota,electric,automatic,2011,15,233083,5936.74,6025.66,-0.0148,14,57,0,2025-05-16,2025-06-22,0
lst_000000120,dealer,dlr_000218,Ford,petrol,manual,2019,7,95696,12507.41,11896.73,0.0513,8,795,0,2025-07-08,2025-07-27,0
lst_000000121,dealer,dlr_000011,Audi,diesel,manual,2021,5,81614,20528.36,21127.48,-0.0284,13,527,0,2025-06-20,2025-07-07,0
lst_000000122,dealer,dlr_000121,Peugeot,diesel,automatic,2021,5,104041,14146.58,13955.07,0.0137,11,484,0,2024-02-26,2024-03-16,0
lst_000000123,dealer,dlr_000004,Ford,diesel,manual,2012,14,280780,4786.15,4544.45,0.0532,13,1049,0,2024-07-13,2024-08-13,0
lst_000000124,dealer,dlr_000152,BMW,petrol,automatic,2021,5,81033,20620.15,20207.96,0.0204,11,642,0,2025-07-19,2025-08-14,0
lst_000000125,dealer,dlr_000200,VW,diesel,automatic,2014,12,201557,8171.56,7987.26,0.0231,14,30,0,2025-04-24,2025-05-28,0
lst_000000126,dealer,dlr_000111,Peugeot,hybrid,automatic,2023,3,57485,18763.71,18274.47,0.0268,15,681,0,2024-11-03,2024-12-03,0
lst_000000127,private,,VW,petrol,manual,2025,1,21063,27409.81,27427.35,-6.0E-4,14,182,0,2024-11-15,2024-12-27,0
lst_000000128,dealer,dlr_000217,Mercedes,petrol,automatic,2016,10,201502,12116.17,11938.83,0.0149,7,229,0,2024-01-03,2024-02-18,0
lst_000000129,dealer,dlr_000260,Toyota,diesel,manual,2009,17,256637,1231.04,1154.1,0.0667,14,604,0,2024-01-15,2024-01-27,0
lst_000000130,dealer,dlr_000221,Fiat,diesel,manual,2018,8,136691,10609.33,9572.07,0.1084,15,416,1,2024-02-10,2024-03-22,0
lst_000000131,dealer,dlr_000266,VW,diesel,automatic,2022,4,32422,19936.68,20398.44,-0.0226,10,746,0,2024-06-21,2024-08-07,0
lst_000000132,dealer,dlr_000118,Renault,hybrid,automatic,2025,1,10667,26038.53,24256.42,0.0735,18,1020,0,2024-01-13,2024-02-17,0
lst_000000133,dealer,dlr_000274,VW,petrol,automatic,2011,15,265523,4981.47,4395.3,0.1334,21,524,0,2024-06-17,2024-06-29,0
lst_000000134,dealer,dlr_000230,VW,petrol,automatic,2014,12,243255,7404.03,7133.08,0.038,20,549,0,2025-09-13,2025-10-18,0
lst_000000135,dealer,dlr_000073,Skoda,petrol,automatic,2019,7,140345,12320.31,11951.66,0.0308,11,267,0,2024-08-04,2024-08-27,0
lst_000000136,dealer,dlr_000182,Toyota,diesel,automatic,2011,15,290595,4622.89,4707.56,-0.018,12,303,0,2025-07-29,2025-09-16,0
lst_000000137,dealer,dlr_000186,Mercedes,petrol,manual,2020,6,117557,21588.63,19499.79,0.1071,8,229,1,2023-12-20,2024-01-13,0
lst_000000138,dealer,dlr_000164,Toyota,petrol,automatic,2010,16,249444,4314.42,4184.69,0.031,9,524,0,2025-07-29,2025-09-27,0
lst_000000139,dealer,dlr_000175,BMW,diesel,manual,2010,16,307568,4505.84,4697.61,-0.0408,15,273,1,2024-06-21,2024-07-28,0
lst_000000140,private,,Renault,diesel,automatic,2013,13,247921,5530.46,5641.5,-0.0197,12,473,0,2025-10-24,2025-11-24,0
lst_000000141,private,,Audi,petrol,manual,2015,11,240103,8705.7,9224.96,-0.0563,16,515,0,2023-11-05,2023-12-02,0
lst_000000142,dealer,dlr_000033,Renault,petrol,automatic,2024,2,45221,20677.84,20630.04,0.0023,12,658,0,2024-06-03,2024-08-13,0
lst_000000143,dealer,dlr_000117,Peugeot,diesel,manual,2019,7,112368,13118.21,12540.93,0.046,18,586,0,2024-03-22,2024-04-14,0
lst_000000144,private,,Renault,diesel,manual,2021,5,140036,15348.1,15150.23,0.0131,11,862,0,2025-10-30,2025-12-22,0
lst_000000145,dealer,dlr_000263,Fiat,hybrid,automatic,2019,7,134782,9806.37,9871.97,-0.0066,21,63,0,2025-10-04,2025-10-23,0
lst_000000146,dealer,dlr_000159,Opel,diesel,manual,2023,3,15138,18977.48,18568.15,0.022,10,390,1,2024-10-22,2024-11-27,0
lst_000000147,dealer,dlr_000086,VW,diesel,automatic,2021,5,97343,17420.18,16540.62,0.0532,15,30,1,2024-03-07,2024-04-11,0
lst_000000148,private,,Hyundai,petrol,automatic,2019,7,101881,11609.72,11711.83,-0.0087,15,364,0,2023-12-31,2024-02-09,0
lst_000000149,dealer,dlr_000204,Toyota,diesel,automatic,2018,8,204948,12864.49,12322.59,0.044,18,374,0,2024-08-28,2024-09-25,0
lst_000000150,dealer,dlr_000272,Mercedes,hybrid,manual,2018,8,141331,15412.45,14175.37,0.0873,20,1345,0,2025-10-25,2025-11-16,0
lst_000000151,dealer,dlr_000195,BMW,petrol,manual,2009,17,332853,5617.27,5698.94,-0.0143,16,334,1,2025-04-19,2025-05-06,0
lst_000000152,dealer,dlr_000143,Ford,hybrid,manual,2011,15,221250,2435.19,2244.45,0.085,13,615,0,2025-01-13,2025-02-06,0
lst_000000153,private,,BMW,electric,automatic,2015,11,175968,9425.19,8641.22,0.0907,22,639,0,2024-05-01,2024-06-06,0
lst_000000154,private,,Fiat,hybrid,manual,2020,6,119286,11127.11,12092.65,-0.0798,19,787,0,2025-10-23,2025-11-04,0
lst_000000155,private,,Toyota,petrol,automatic,2010,16,291318,3861.43,3867.58,-0.0016,9,30,0,2025-05-22,2025-07-04,0
lst_000000156,dealer,dlr_000057,Toyota,petrol,manual,2020,6,82316,16093.91,15446.74,0.0419,11,141,0,2024-08-20,2024-09-05,0
lst_000000157,dealer,dlr_000147,VW,petrol,automatic,2021,5,71609,16587.92,15747.79,0.0533,15,797,0,2023-12-14,2024-01-02,0
lst_000000158,dealer,dlr_000208,BMW,electric,manual,2015,11,154211,8485.29,7603.06,0.116,14,477,1,2025-07-13,2025-08-16,0
lst_000000159,dealer,dlr_000147,Opel,petrol,automatic,2014,12,188978,7209.79,6664.99,0.0817,14,622,0,2025-01-06,2025-01-17,0
lst_000000160,dealer,dlr_000182,Toyota,petrol,automatic,2017,9,183180,10919.99,11553.67,-0.0548,12,357,0,2023-11-09,2023-12-24,0
lst_000000161,dealer,dlr_000166,Renault,petrol,manual,2016,10,125259,7577.23,7487.72,0.012,12,595,1,2024-11-05,2024-12-17,0
lst_000000162,dealer,dlr_000106,Peugeot,petrol,manual,2025,1,39349,27049.05,25335.81,0.0676,18,691,0,2023-11-16,2023-12-04,0
lst_000000163,private,,VW,petrol,manual,2016,10,211613,9154.84,9086.78,0.0075,10,826,0,2025-02-22,2025-04-06,0
lst_000000164,dealer,dlr_000264,Skoda,petrol,automatic,2011,15,220142,3982.76,3634.06,0.096,12,227,0,2025-05-10,2025-07-29,0
lst_000000165,private,,Toyota,diesel,automatic,2011,15,253637,3870.6,3725.27,0.039,10,920,0,2025-10-02,2025-10-15,0
lst_000000166,dealer,dlr_000236,BMW,petrol,manual,2021,5,119009,22023.73,22083.01,-0.0027,11,1093,0,2025-11-24,2025-12-07,0
lst_000000167,dealer,dlr_000101,Audi,hybrid,manual,2008,18,253911,2907.29,2920.14,-0.0044,9,805,0,2024-04-27,2024-06-18,0
lst_000000168,dealer,dlr_000167,Skoda,petrol,manual,2016,10,174073,7196.68,7511.43,-0.0419,10,921,0,2024-08-21,2024-09-12,0
lst_000000169,dealer,dlr_000215,BMW,petrol,automatic,2015,11,229194,10306.57,9534.23,0.081,20,742,0,2023-12-31,2024-02-03,0
lst_000000170,dealer,dlr_000045,Skoda,hybrid,automatic,2019,7,123783,11730.12,11314.88,0.0367,14,407,0,2025-12-12,2026-01-15,0
lst_000000171,dealer,dlr_000188,Skoda,petrol,automatic,2024,2,2613,24944.26,23919.91,0.0428,10,409,0,2024-12-24,2025-01-30,0
lst_000000172,private,,Ford,petrol,automatic,2022,4,72475,17751.61,16856.75,0.0531,19,720,0,2024-07-03,2024-07-22,0
lst_000000173,dealer,dlr_000220,Skoda,petrol,manual,2023,3,51743,21820.08,21939.79,-0.0055,15,453,1,2024-11-29,2024-12-16,0
lst_000000174,dealer,dlr_000113,Renault,diesel,manual,2014,12,195429,5953.81,5590.92,0.0649,15,580,0,2024-08-18,2024-09-10,0
lst_000000175,dealer,dlr_000148,Hyundai,petrol,manual,2017,9,170774,9864.94,10079.59,-0.0213,14,30,0,2025-10-25,2025-11-10,0
lst_000000176,dealer,dlr_000221,Audi,petrol,manual,2016,10,148193,9217.18,8870.72,0.0391,16,651,0,2023-12-20,2024-01-02,0
lst_000000177,dealer,dlr_000015,VW,electric,manual,2018,8,160602,11549.2,11189.17,0.0322,19,402,0,2025-12-07,2026-01-01,0
lst_000000178,dealer,dlr_000244,VW,electric,manual,2012,14,243818,6775.41,6777.06,-2.0E-4,8,400,0,2024-12-29,2025-02-01,0
lst_000000179,dealer,dlr_000211,Hyundai,petrol,manual,2023,3,35017,19777.21,19408.82,0.019,12,422,1,2025-01-11,2025-02-03,0
lst_000000180,dealer,dlr_000132,VW,petrol,automatic,2017,9,148760,8470.22,8171.2,0.0366,11,232,0,2024-08-27,2024-09-05,0
lst_000000181,dealer,dlr_000098,Toyota,petrol,automatic,2018,8,166066,12133.55,12284.04,-0.0123,13,481,1,2025-01-06,2025-02-01,0
lst_000000182,dealer,dlr_000113,Hyundai,petrol,automatic,2023,3,40657,19419.95,18508.84,0.0492,7,738,0,2025-09-14,2025-09-27,0
lst_000000183,dealer,dlr_000034,Peugeot,hybrid,automatic,2014,12,196499,6736.1,6222.83,0.0825,13,318,0,2025-06-01,2025-07-08,0
lst_000000184,private,,Audi,hybrid,manual,2017,9,150651,12309.48,12365.96,-0.0046,7,407,1,2025-10-12,2025-10-23,0
lst_000000185,dealer,dlr_000050,Mercedes,hybrid,manual,2025,1,80277,36380.16,35450.64,0.0262,11,702,0,2024-08-25,2024-09-29,0
